filename,width,height,class,xmin,ymin,xmax,ymax
image76.jpg,0,0,coffee,207,187,347,370
image76.jpg,0,0,cup,350,218,498,407
image77.jpg,0,0,coffee,207,289,244,322
image77.jpg,0,0,cup,298,250,333,283
image78.jpg,0,0,cup,27,164,330,393
image79.jpg,0,0,coffee,79,131,187,293
image8.jpg,507,387,cup,268,169,299,211
image8.jpg,507,387,cup,308,190,335,228
image80.jpg,0,0,coffee,92,82,226,284
image82.jpg,312,325,beer,80,97,164,281
image84.jpg,414,180,cup,37,21,138,153
image84.jpg,414,180,cup,279,50,362,171
image85.jpg,237,344,cup,60,131,113,221
image85.jpg,237,344,cup,116,138,161,218
image86.jpg,236,252,beer,60,47,167,177
image87.jpg,647,250,beer,93,135,145,216
image87.jpg,647,250,beer,546,144,590,215
image88.jpg,294,292,can,133,143,237,277
image89.jpg,101,194,bottle,44,89,74,165
image89.jpg,101,194,beer,30,140,56,175
image9.jpg,674,551,coffee,281,102,409,201
image9.jpg,674,551,cup,490,119,602,327
image90.jpg,109,166,beer,42,46,67,109
image91.jpg,273,301,beer,104,171,150,270
image92.jpg,254,213,beer,104,94,151,169
image93.jpg,528,427,beer,114,142,188,345
image93.jpg,528,427,beer,200,236,261,331
image93.jpg,528,427,beer,374,289,450,393
image94.jpg,291,284,beer,20,109,51,181
image94.jpg,291,284,beer,229,120,257,184
image94.jpg,291,284,beer,195,141,219,172
image94.jpg,291,284,beer,44,141,72,175
image95.jpg,627,555,beer,42,233,157,516
image95.jpg,627,555,beer,444,141,591,534
image96.jpg,460,533,beer,35,100,190,505
image96.jpg,460,533,beer,284,105,427,497
image97.jpg,498,578,beer,114,61,305,521
image98.jpg,353,367,beer,77,26,256,351
image99.jpg,207,308,beer,80,56,173,254
